Pixel Number,405 nm(ADC counts),450 nm(ADC counts),MercuryLamp(ADC counts)
680,325.46767,189.41715,186.39601
681,325.28931,190.19983,186.44958
682,326.42804,190.08702,186.5356
683,326.76972,190.76117,186.87839
684,326.97627,191.18625,187.0147
685,327.48181,191.20952,186.76225
686,327.63269,191.2468,187.20825
687,326.99273,191.96071,187.45302
688,326.32914,191.75975,187.64451
689,326.30085,191.57026,187.18923
690,326.29057,190.54717,187.27044
691,325.89599,190.40965,187.05604
692,325.78036,189.97436,187.33366
693,326.08938,189.89994,186.56212
694,325.96716,189.48198,186.48354
695,326.19604,190.11638,186.24709
696,325.84816,190.14724,186.28587
697,326.14941,189.82885,185.89803
698,327.25048,189.69597,185.35264
699,326.99662,189.99345,185.17544
700,327.01522,189.19105,185.31564
701,327.11004,189.84239,185.30837
702,327.96604,189.75238,185.41692
703,327.38047,190.18491,185.50638
704,328.2434,189.72316,186.43814
705,328.42099,189.37877,186.28128
706,328.26932,189.37508,186.77628
707,327.73528,189.73622,186.79725
708,327.79152,189.37314,186.83513
709,326.83998,188.67077,186.69466
710,326.71275,187.97098,186.49792
711,326.10989,188.03604,186.28939
712,325.93249,187.62327,186.99313
713,325.98714,187.19626,186.65694
714,325.56046,186.20684,186.54622
715,324.01083,185.87345,185.86778
716,324.06453,184.33019,186.24756
717,323.28205,184.31402,185.67709
718,322.59548,183.19608,185.57131
719,322.03627,183.55078,185.18436
720,321.52186,182.61765,185.42154
721,321.32326,182.43108,185.30124
722,320.59989,182.21294,185.58342
723,319.41499,181.35454,185.58399
724,319.77929,180.56371,185.70246
725,319.40214,180.30662,185.41102
726,319.70728,180.4985,186.07619
727,319.27335,180.51995,185.73597
728,320.42582,180.37859,185.9705
729,320.70227,181.26192,185.7562
730,320.55384,180.73451,185.7926
731,321.08905,181.22046,185.68283
732,321.37568,180.8735,186.06781
733,321.12133,180.6456,185.99235
734,321.73728,180.43651,185.57773
735,321.80603,180.54399,185.02139
736,322.67493,180.09973,184.93821
737,322.4114,180.87485,184.65677
738,323.01199,180.76831,184.32265
739,323.26173,181.35238,183.76798
740,323.93044,180.81768,183.90011
741,324.22531,181.46802,183.21315
742,324.5821,181.30308,183.17511
743,324.21641,182.0086,183.00052
744,324.76686,181.32497,183.26432
745,324.11757,181.74628,182.84289
746,325.4476,181.72134,182.23919
747,325.84822,182.28945,182.12949
748,326.16831,182.20167,182.68186
749,326.06375,182.53403,182.48011
750,326.64449,182.59213,182.41924
751,326.70072,183.07555,182.26929
752,326.73816,182.65443,182.44829
753,326.82984,183.32474,182.46957
754,326.86465,183.56358,182.64993
755,326.70642,183.9126,182.59407
756,326.98283,183.89074,182.92177
757,327.23461,184.6232,182.43386
758,327.2385,184.61111,182.38325
759,327.60087,184.81154,182.61163
760,327.63001,184.2844,182.86354
761,327.45519,184.353,182.70831
762,327.68308,183.99712,182.82539
763,327.34999,184.14475,182.70277
764,328.35158,183.53295,183.12682
765,328.29236,183.81097,183.12114
766,329.01533,183.5836,183.00318
767,328.26738,184.01542,183.07962
768,327.87046,183.33537,183.62716
769,328.28719,183.29475,183.535
770,327.99999,183.29083,183.92553
771,327.65828,183.10152,183.94146
772,328.40802,183.10974,184.33659
773,328.29635,184.16469,184.08145
774,328.81326,184.12762,184.42746
775,328.67335,184.79433,184.31196
776,329.50893,184.31498,184.70127
777,329.82793,184.7586,184.31836
778,330.97064,185.07684,184.54277
779,330.76976,185.81696,184.19646
780,331.04626,185.95512,183.93869
781,331.76899,185.82604,183.91414
782,332.54918,185.55462,183.81038
783,332.1271,186.00944,183.26589
784,332.40375,185.91384,183.48743
785,332.23437,186.07197,183.45399
786,332.20985,185.95676,183.47013
787,332.40411,186.28735,183.23706
788,332.58949,185.77553,183.51908
789,332.57095,185.77768,183.36634
790,332.39765,185.85905,183.28957
791,331.90147,185.97635,182.86696
792,332.17352,186.1617,183.30361
793,332.57372,186.01609,182.82475
794,332.68946,186.0189,182.70928
795,332.78752,186.45702,182.65316
796,332.71481,186.15046,183.12944
797,333.1077,186.34201,183.55197
798,333.72161,186.56076,183.65837
799,332.87881,186.81191,183.54244
800,333.03038,186.38691,183.97265
801,332.57995,186.69018,183.75653
802,332.62465,186.08787,183.82344
803,331.80048,186.15224,183.6085
804,331.81091,184.63291,184.14243
805,331.13734,183.87607,184.20074
806,330.32549,183.30244,183.9591
807,329.89183,182.34723,183.60104
808,329.96558,181.13605,184.13363
809,329.59772,180.69885,183.82062
810,329.98761,180.80125,183.295
811,329.63665,180.94373,182.98558
812,330.18038,180.11201,183.24168
813,329.81689,179.91134,182.64903
814,329.75689,179.3813,182.70349
815,329.86849,179.64269,182.31782
816,330.76133,178.96444,182.62057
