Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
469.55713,367,368.05117,,,
469.73061,422,367.7086,,,
469.9041,351,367.47378,,,
470.07761,380,368.8426,,,
470.25114,384,368.80038,,,
470.42468,385,369.45197,,,
470.59823,351,368.46252,,,
470.7718,378,368.94303,,,
470.94539,362,367.53147,,,
471.11899,344,366.89103,,,
471.29261,352,365.11941,,,
471.46624,349,366.53795,,,
471.63988,381,365.71653,,,
471.81354,363,366.06734,,,
471.98722,341,365.34945,,,
472.16091,386,366.21212,,,
472.33462,366,366.95683,,,
472.50834,362,366.43718,,,
472.68207,367,366.05611,,,
472.85582,356,367.58645,,,
473.02959,370,367.5261,,,
473.20337,362,367.33296,,,
473.37717,387,367.33296,,,
473.55098,372,367.01538,,,
473.72481,366,365.01142,,,
473.89865,368,364.59725,,,
474.0725,393,363.36209,,,
474.24637,377,364.43272,,,
474.42026,335,364.42889,,,
474.59416,360,365.47489,,,
474.76808,369,365.78595,,,
474.94201,360,367.28012,,,
475.11596,335,366.12154,,,
475.28992,393,366.88731,,,
475.46389,372,367.36329,,,
475.63789,399,367.14075,,,
475.81189,337,366.82878,,,
475.98591,382,365.88353,,,
476.15995,360,364.94904,,,
476.334,376,366.01903,,,
476.50807,368,364.86632,,,
476.68215,356,365.08317,,,
476.85625,356,365.22426,,,
477.03036,370,366.27287,,,
477.20449,324,365.93157,,,
477.37863,362,365.66534,,,
477.55279,353,365.49525,,,
477.72696,365,365.18872,,,
477.90115,358,365.45351,,,
478.07535,397,365.36891,,,
478.24957,367,364.36866,,,
478.4238,398,364.43634,,,
478.59805,385,365.75107,,,
478.77231,355,366.00702,,,
478.94658,345,365.57505,,,
479.12088,376,365.72658,,,
479.29518,339,365.17824,,,
479.46951,396,364.97112,,,
479.64384,360,363.83798,,,
479.8182,353,364.97407,,,
479.99256,354,364.20515,,,
480.16695,360,365.60871,,,
480.34135,376,365.69682,,,
480.51576,413,366.84675,,,
480.69019,329,365.35783,,,
480.86463,377,365.17966,,,
481.03909,377,365.25858,,,
481.21356,362,366.19579,,,
481.38805,322,366.00723,,,
481.56255,370,366.3437,,,
481.73707,355,364.64525,,,
481.9116,364,364.80027,,,
482.08615,360,363.70636,,,
482.26071,367,363.36076,,,
482.43529,367,362.91991,,,
482.60988,396,363.90321,,,
482.78449,365,363.55739,,,
482.95911,349,363.27072,,,
483.13375,372,363.91352,,,
483.30841,351,362.62461,,,
483.48307,350,362.27613,,,
483.65776,383,362.18148,,,
483.83246,364,361.12732,,,
484.00717,367,361.88208,,,
484.1819,346,360.86333,,,
484.35664,394,360.29283,,,
484.5314,353,359.35627,,,
484.70617,332,359.4599,,,
484.88096,334,358.30608,,,
485.05577,404,359.41303,,,
485.23059,382,357.90321,,,
485.40542,369,357.42483,,,
485.58027,324,357.53417,,,
485.75513,356,358.31432,,,
485.93001,350,357.81209,,,
486.10491,369,358.80806,,,
486.27981,338,358.84391,,,
486.45474,368,357.2772,,,
486.62968,353,357.19966,,,
486.80463,346,358.31013,,,
486.9796,335,358.35425,,,
487.15458,350,358.86512,,,
487.32958,384,358.60103,,,
487.5046,346,359.74326,,,
487.67963,384,359.64427,,,
487.85467,340,359.86811,,,
488.02973,360,359.23665,,,
488.20481,354,359.9952,,,
488.37989,349,359.45809,,,
488.555,377,359.64051,,,
488.73012,355,358.55657,,,
488.90525,367,359.99246,,,
489.0804,335,359.25928,,,
489.25557,396,358.32948,,,
489.43075,367,356.74824,,,
489.60594,376,358.73818,,,
489.78115,392,360.33548,,,
489.95638,380,360.07835,,,
490.13162,344,359.02249,,,
490.30687,340,359.50964,,,
490.48214,329,359.18034,,,
490.65743,342,358.99812,,,
490.83273,408,358.15599,,,
491.00804,358,358.99112,,,
491.18337,321,359.23174,,,
491.35872,354,358.63881,,,
491.53408,372,357.7828,,,
491.70945,374,356.97821,,,
491.88484,306,357.08911,,,
492.06025,367,355.69678,,,
492.23567,334,355.99241,,,
492.4111,358,356.33851,,,
492.58655,344,356.47598,,,
492.76202,372,356.36144,,,
492.9375,353,355.46171,,,
493.11299,376,355.83488,,,
493.2885,341,355.04116,,,
493.46403,377,354.59338,,,
493.63957,362,354.32778,,,
493.81513,384,355.99028,,,
493.9907,335,354.90756,,,
494.16628,328,355.65764,,,
494.34188,381,356.70862,,,
494.5175,364,357.50216,,,
494.69313,339,357.75005,,,
494.86878,358,357.78824,,,
495.04444,374,357.65193,,,
495.22011,367,357.58482,,,
495.3958,338,359.07801,,,
495.57151,340,359.78376,,,
495.74723,358,358.57893,,,
495.92297,352,359.13486,,,
496.09872,362,358.46805,,,
496.27448,368,358.83044,,,
496.45027,386,357.01855,,,
496.62606,372,357.47016,,,
496.80187,325,357.11409,,,
496.9777,346,356.91024,,,
497.15354,346,355.71546,,,
497.3294,366,356.45974,,,
497.50527,352,356.12768,,,
497.68116,372,356.00652,,,
497.85706,376,355.14354,,,
498.03297,336,355.3439,,,
498.2089,328,355.35484,,,
498.38485,398,355.48017,,,
498.56081,351,353.78332,,,
498.73679,362,352.10143,,,
498.91278,366,351.91438,,,
499.08879,350,352.73755,,,
499.26481,349,352.40313,,,
499.44085,337,352.60069,,,
499.6169,340,352.72124,,,
499.79297,355,353.75288,,,
499.96905,335,353.01092,,,
500.14515,358,351.97463,,,
500.32126,325,352.48264,,,
500.49738,386,352.69934,,,
500.67353,360,351.88722,,,
500.84968,364,350.90172,,,
501.02586,344,352.35772,,,
501.20204,334,352.89771,,,
501.37825,348,353.12426,,,
501.55446,367,353.59865,,,
501.73069,328,353.4415,,,
501.90694,343,353.37195,,,
502.0832,360,353.43949,,,
502.25948,351,354.59422,,,
502.43577,351,354.89973,,,
502.61208,344,354.095,,,
502.7884,366,353.67707,,,
502.96474,384,355.314,,,
503.1411,377,355.4702,,,
503.31746,384,355.17638,,,
503.49385,337,355.79132,,,
503.67024,348,356.0321,,,
503.84666,346,356.75927,,,
504.02308,367,356.29951,,,
504.19953,331,355.87481,,,
504.37598,360,356.31312,,,
504.55246,371,354.98503,,,
504.72895,335,355.01357,,,
504.90545,335,354.83377,,,
505.08197,381,356.03463,,,
505.2585,402,355.36923,,,
505.43505,345,355.15396,,,
505.61161,367,355.48563,,,
505.78819,328,356.11896,,,
505.96478,332,356.36406,,,
506.14139,349,355.88353,,,
506.31801,367,355.00163,,,
506.49465,350,355.01808,,,
506.67131,332,355.0321,,,
506.84797,368,355.02134,,,
507.02466,369,354.82376,,,
507.20136,344,354.81739,,,
507.37807,344,354.01167,,,
507.5548,350,354.14469,,,
507.73154,379,354.55367,,,
507.9083,357,355.46576,,,
508.08508,355,355.25625,,,
508.26186,335,355.29403,,,
508.43867,360,354.57224,,,
508.61549,360,355.62642,,,
508.79232,344,353.70704,,,
508.96917,384,353.38785,,,
509.14603,363,354.59908,,,
509.32291,333,354.32354,,,
509.49981,344,352.82743,,,
509.67672,387,353.29987,,,
509.85364,383,354.21495,,,
510.03058,346,354.26789,,,
510.20753,318,354.14127,,,
510.3845,337,353.51097,,,
510.56149,382,351.94953,,,
510.73849,358,352.79859,,,
510.9155,337,352.38973,,,
511.09253,351,352.98972,,,
511.26957,341,352.23081,,,
511.44663,344,352.3856,,,
511.62371,325,352.62561,,,
511.8008,373,351.79547,,,
511.9779,366,350.17067,,,
512.15502,356,349.93791,,,
512.33216,351,350.39176,,,
512.50931,342,350.51589,,,
512.68647,340,350.19337,,,
512.86365,362,348.95429,,,
513.04085,321,348.94102,,,
513.21806,385,348.93626,,,
513.39528,362,348.39466,,,
513.57252,321,349.12089,,,
513.74977,330,347.73836,,,
513.92704,367,347.17296,,,
514.10433,348,346.87708,,,
514.28163,362,346.76482,,,
514.45895,338,347.77227,,,
514.63628,367,347.88,,,
514.81362,345,346.63351,,,
514.99098,378,345.65481,,,
515.16836,309,345.85257,,,
515.34575,368,346.00417,,,
515.52315,316,345.0986,,,
515.70057,337,344.98625,,,
515.87801,339,344.98532,,,
516.05546,338,345.05869,,,
516.23292,349,344.1803,,,
516.4104,377,344.09126,,,
516.5879,336,344.35679,,,
516.76541,342,344.88292,,,
516.94294,332,345.92885,,,
517.12048,344,346.16471,,,
517.29803,354,345.98591,,,
517.4756,336,347.54638,,,
517.65319,335,346.90081,,,
517.83079,335,348.0398,,,
518.00841,332,347.44846,,,
518.18604,390,347.66966,,,
518.36368,335,345.77442,,,
518.54134,332,346.78117,,,
518.71902,373,347.13588,,,
518.89671,340,347.17874,,,
519.07442,335,346.5801,,,
519.25214,349,347.4037,,,
519.42987,356,347.38261,,,
519.60763,366,349.18555,,,
519.78539,350,348.09153,,,
519.96317,367,349.73732,,,
520.14097,356,348.66921,,,
520.31878,342,348.55184,,,
520.49661,340,348.11914,,,
520.67445,350,348.47294,,,
520.8523,374,348.84335,,,
521.03018,363,350.26472,,,
521.20806,348,350.26309,,,
521.38596,324,350.48819,,,
521.56388,339,350.48579,,,
521.74181,349,351.91404,,,
521.91976,309,351.27935,,,
522.09772,337,350.99656,,,
522.2757,340,350.57161,,,
522.45369,384,350.45598,,,
522.6317,315,349.05051,,,
522.80972,393,350.35994,,,
522.98776,335,348.59458,,,
523.16581,338,348.21991,,,
523.34387,365,348.51204,,,
523.52196,367,348.43036,,,
523.70005,351,347.08668,,,
523.87817,361,346.86688,,,
524.05629,335,346.98156,,,
524.23444,364,347.06412,,,
524.41259,328,346.59453,,,
524.59077,367,346.5298,,,
524.76895,354,346.63995,,,
524.94715,367,346.50912,,,
525.12537,338,345.37632,,,
525.3036,346,345.88351,,,
525.48185,340,346.63931,,,
525.66011,348,347.23541,,,
525.83839,344,347.45356,,,
526.01668,338,347.21215,,,
526.19499,293,346.61476,,,
526.37332,370,347.30003,,,
526.55165,341,346.0781,,,
526.73001,341,346.78958,,,
526.90837,325,346.16,,,
527.08676,362,347.75639,,,
527.26515,330,345.71839,,,
527.44357,384,347.86269,,,
527.622,333,346.79929,,,
527.80044,351,345.77775,,,
527.9789,331,347.02376,,,
528.15737,367,348.28064,,,
528.33586,343,348.32893,,,
528.51436,338,349.537,,,
528.69288,351,349.49428,,,
528.87141,357,351.32809,,,
529.04996,365,350.73356,,,
529.22852,353,351.88052,,,
529.4071,348,351.35675,,,
529.5857,382,352.65118,,,
529.7643,338,352.71145,,,
529.94293,356,353.09409,,,
530.12157,356,352.99504,,,
530.30022,357,353.84604,,,
530.47889,347,354.09232,,,
530.65757,373,353.96609,,,
530.83627,340,351.50196,,,
531.01498,361,353.05717,,,
531.19371,316,352.99758,,,
531.37246,360,353.00075,,,
531.55121,330,352.38137,,,
531.72999,386,353.2097,,,
531.90878,324,351.21158,,,
532.08758,378,352.08587,,,
532.2664,383,351.21482,,,
532.44523,335,350.61535,,,
532.62408,337,349.84387,,,
532.80295,364,349.81275,,,
532.98183,336,349.03298,,,
533.16072,351,348.58264,,,
533.33963,313,348.40112,,,
533.51855,356,347.94068,,,
533.69749,335,348.10822,,,
533.87645,383,347.97214,,,
534.05542,339,346.93647,,,
534.2344,352,347.47555,,,
534.4134,348,346.53956,,,
534.59242,358,346.3847,,,
534.77144,332,345.84781,,,
534.95049,346,346.22395,,,
535.12955,351,345.35387,,,
535.30862,382,347.30812,,,
535.48771,319,345.51496,,,
535.66682,342,345.00598,,,
535.84594,336,343.83741,,,
536.02507,335,344.69463,,,
536.20422,317,344.75016,,,
536.38339,380,346.23201,,,
536.56257,340,344.5932,,,
536.74176,349,345.99796,,,
536.92097,357,346.85741,,,
537.1002,341,346.35269,,,
537.27944,351,346.29566,,,
537.45869,354,347.34911,,,
537.63796,335,347.53983,,,
537.81725,335,347.57061,,,
537.99655,350,346.96673,,,
538.17586,338,348.26175,,,
538.35519,336,346.71111,,,
538.53454,362,348.6161,,,
538.7139,347,349.50139,,,
538.89327,356,349.94134,,,
539.07266,348,349.95135,,,
539.25207,364,350.58785,,,
539.43149,336,349.62563,,,
539.61093,370,351.09552,,,
539.79038,300,351.77383,,,
539.96984,396,352.42449,,,
540.14932,382,350.92754,,,
540.32882,362,351.83909,,,
540.50833,335,351.69007,,,
540.68785,328,352.14354,,,
540.86739,334,350.12759,,,
541.04695,381,351.63134,,,
541.22652,334,350.66473,,,
541.40611,364,351.03975,,,
541.58571,368,351.09076,,,
541.76532,355,352.13042,,,
541.94496,345,352.68267,,,
542.1246,346,353.88697,,,
542.30426,367,353.49684,,,
542.48394,349,353.72423,,,
542.66363,322,353.95993,,,
542.84334,399,354.25982,,,
543.02306,335,354.4644,,,
543.20279,324,355.07185,,,
543.38254,349,354.40359,,,
543.56231,361,355.50558,,,
543.74209,352,356.28399,,,
543.92189,383,356.45038,,,
544.1017,312,356.05006,,,
544.28153,339,356.39978,,,
544.46137,376,354.80894,,,
544.64123,393,357.13692,,,
544.8211,333,357.54207,,,
545.00098,360,358.74244,,,
545.18089,335,358.98088,,,
545.3608,399,358.6749,,,
545.54073,346,357.66597,,,
545.72068,395,358.70656,,,
545.90064,362,357.30417,,,
546.08062,385,357.03692,,,
546.26061,336,357.41639,,,
546.44062,360,358.21316,,,
546.62064,340,358.2851,,,
546.80068,374,357.62069,,,
546.98073,351,358.07751,,,
547.1608,364,357.94845,,,
547.34088,348,356.42601,,,
547.52098,344,358.57963,,,
547.70109,354,357.8961,,,
547.88122,385,357.1856,,,
548.06136,334,356.2598,,,
548.24152,332,356.20621,,,
548.42169,368,355.65954,,,
548.60187,360,356.90199,,,
548.78208,370,355.48599,,,
548.96229,364,355.75533,,,
549.14253,323,355.54334,,,
549.32278,380,356.31314,,,
549.50304,337,356.05187,,,
549.68332,338,356.47822,,,
549.86361,342,355.10091,,,
550.04392,367,356.66312,,,
550.22424,345,355.80487,,,
550.40458,383,358.02603,,,
550.58493,378,357.80487,,,
550.7653,365,358.69259,,,
550.94568,338,358.79109,,,
551.12608,349,359.49922,,,
