Wavelength,Raw_Spectrum,Smoothed_Spectrum,,,# Smoothing method: Savitzky-Golay
477.72696,277,292.93603,,,
477.90115,289,293.22132,,,
478.07535,310,292.21328,,,
478.24957,297,292.29496,,,
478.4238,335,292.18725,,,
478.59805,297,291.9595,,,
478.77231,309,291.8699,,,
478.94658,266,292.56907,,,
479.12088,292,292.68344,,,
479.29518,275,292.3304,,,
479.46951,334,292.06881,,,
479.64384,277,291.52409,,,
479.8182,299,292.10773,,,
479.99256,285,290.65159,,,
480.16695,271,291.01282,,,
480.34135,288,291.40719,,,
480.51576,329,291.34334,,,
480.69019,266,289.45371,,,
480.86463,285,289.55689,,,
481.03909,321,288.87608,,,
481.21356,288,289.12696,,,
481.38805,271,288.28155,,,
481.56255,287,288.23332,,,
481.73707,285,287.65791,,,
481.9116,289,287.99615,,,
482.08615,279,287.70754,,,
482.26071,271,286.61881,,,
482.43529,311,286.48166,,,
482.60988,285,286.93814,,,
482.78449,284,286.71381,,,
482.95911,297,287.39124,,,
483.13375,283,287.41473,,,
483.30841,265,287.11004,,,
483.48307,256,286.19545,,,
483.65776,304,285.57129,,,
483.83246,272,284.44866,,,
484.00717,276,285.21645,,,
484.1819,263,284.16739,,,
484.35664,330,283.71929,,,
484.5314,310,283.44658,,,
484.70617,262,283.01037,,,
484.88096,271,282.07173,,,
485.05577,321,283.24356,,,
485.23059,288,281.9048,,,
485.40542,319,281.56067,,,
485.58027,281,281.88824,,,
485.75513,293,283.29813,,,
485.93001,280,283.0547,,,
486.10491,286,284.9115,,,
486.27981,253,285.44943,,,
486.45474,273,285.56511,,,
486.62968,288,285.37582,,,
486.80463,264,285.76255,,,
486.9796,262,285.78097,,,
487.15458,271,285.07343,,,
487.32958,282,284.13402,,,
487.5046,270,285.14698,,,
487.67963,296,284.38411,,,
487.85467,274,282.80749,,,
488.02973,288,282.16009,,,
488.20481,288,282.22721,,,
488.37989,287,281.25389,,,
488.555,297,280.60187,,,
488.73012,302,279.49072,,,
488.90525,285,281.74702,,,
489.0804,274,281.83384,,,
489.25557,308,280.51261,,,
489.43075,284,279.69524,,,
489.60594,311,281.651,,,
489.78115,298,282.90054,,,
489.95638,319,283.78992,,,
490.13162,253,283.12143,,,
490.30687,288,285.19889,,,
490.48214,226,285.47734,,,
490.65743,261,285.98931,,,
490.83273,277,285.6671,,,
491.00804,276,286.58495,,,
491.18337,242,287.36877,,,
491.35872,293,287.17903,,,
491.53408,297,287.10861,,,
491.70945,308,287.03975,,,
491.88484,256,287.08698,,,
492.06025,303,286.62622,,,
492.23567,316,287.21441,,,
492.4111,273,288.46008,,,
492.58655,296,288.99583,,,
492.76202,303,289.00367,,,
492.9375,297,288.78819,,,
493.11299,299,289.48927,,,
493.2885,252,289.45254,,,
493.46403,312,289.83893,,,
493.63957,318,290.18324,,,
493.81513,312,291.56592,,,
493.9907,271,291.1171,,,
494.16628,262,292.89402,,,
494.34188,309,293.63114,,,
494.5175,334,294.62439,,,
494.69313,255,294.2683,,,
494.86878,302,294.88577,,,
495.04444,303,293.84437,,,
495.22011,298,293.25364,,,
495.3958,271,293.48855,,,
495.57151,288,292.86097,,,
495.74723,296,290.74176,,,
495.92297,286,290.48282,,,
496.09872,291,289.63779,,,
496.27448,297,289.60819,,,
496.45027,302,287.27552,,,
496.62606,293,286.45965,,,
496.80187,244,287.11178,,,
496.9777,275,286.40603,,,
497.15354,292,285.46705,,,
497.3294,300,285.94582,,,
497.50527,280,285.72156,,,
497.68116,314,285.78733,,,
497.85706,286,284.15391,,,
498.03297,273,284.73979,,,
498.2089,269,284.75981,,,
498.38485,309,284.9614,,,
498.56081,262,283.1041,,,
498.73679,285,281.23002,,,
498.91278,303,280.67433,,,
499.08879,284,281.96283,,,
499.26481,282,281.18141,,,
499.44085,268,282.14238,,,
499.6169,276,281.66921,,,
499.79297,256,282.05778,,,
499.96905,278,281.25312,,,
500.14515,288,280.33077,,,
500.32126,270,280.3174,,,
500.49738,294,280.43978,,,
500.67353,280,280.60024,,,
500.84968,306,281.28476,,,
501.02586,303,282.62441,,,
501.20204,270,281.73071,,,
501.37825,271,281.04113,,,
501.55446,301,281.36479,,,
501.73069,261,280.79035,,,
501.90694,278,281.23122,,,
502.0832,270,280.79762,,,
502.25948,276,282.01644,,,
502.43577,256,281.64194,,,
502.61208,284,280.97243,,,
502.7884,277,280.51587,,,
502.96474,309,281.71798,,,
503.1411,301,280.92956,,,
503.31746,307,280.51088,,,
503.49385,278,282.18404,,,
503.67024,269,283.05984,,,
503.84666,251,283.94679,,,
504.02308,303,283.54407,,,
504.19953,273,283.86876,,,
504.37598,286,283.9058,,,
504.55246,309,283.55902,,,
504.72895,291,284.31729,,,
504.90545,278,285.39068,,,
505.08197,282,286.24275,,,
505.2585,271,285.55825,,,
505.43505,253,286.4772,,,
505.61161,324,287.13901,,,
505.78819,268,287.49367,,,
505.96478,256,286.74887,,,
506.14139,303,287.00999,,,
506.31801,281,286.23421,,,
506.49465,293,286.92308,,,
506.67131,274,287.094,,,
506.84797,305,287.23115,,,
507.02466,306,286.45922,,,
507.20136,296,286.9887,,,
507.37807,282,286.06954,,,
507.5548,305,285.73329,,,
507.73154,319,285.63238,,,
507.9083,270,286.12818,,,
508.08508,278,286.15776,,,
508.26186,274,285.95098,,,
508.43867,303,284.6329,,,
508.61549,286,285.45779,,,
508.79232,271,284.47772,,,
508.96917,303,284.07701,,,
509.14603,276,284.49032,,,
509.32291,241,284.65746,,,
509.49981,266,284.20786,,,
509.67672,305,284.1759,,,
